,Codigo_region,Codigo_provincia,Codigo_comuna,PERSONAS,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,LugarNacimiento_Enestacomuna,LugarNacimiento_Enotracomuna,LugarNacimiento_Peru,LugarNacimiento_Argentina,LugarNacimiento_Bolivia,LugarNacimiento_Ecuador,LugarNacimiento_Colombia,LugarNacimiento_Otro,LugarNacimiento_Missing,EducacionFormal_Si,EducacionFormal_Noasisteactualmente,EducacionFormal_Nuncaasistio,EducacionFormal_Missing,UltimoAñoEscolarAprobado_0,UltimoAñoEscolarAprobado_1°,UltimoAñoEscolarAprobado_2°,UltimoAñoEscolarAprobado_3°,UltimoAñoEscolarAprobado_4°,UltimoAñoEscolarAprobado_5°,UltimoAñoEscolarAprobado_6°,UltimoAñoEscolarAprobado_7°,UltimoAñoEscolarAprobado_8°,UltimoAñoEscolarAprobado_Noaplica,UltimoAñoEscolarAprobado_Missing,NivelEducacional_SalaCuna_JardinInfantil,NivelEducacional_Prekinder,NivelEducacional_Kinder,NivelEducacional_Especial_Diferencial,NivelEducacional_EducacionBasica,NivelEducacional_Primaria_Preparatorio,NivelEducacional_CientificoHumanista,NivelEducacional_TecnicaProfesional,NivelEducacional_Humanidades,NivelEducacional_Tecnica_ComercialIndustrialNormalista,NivelEducacional_TecnicoSuperior,NivelEducacional_Profesional,NivelEducacional_Magister,NivelEducacional_Doctorado,NivelEducacional_Noaplica,NivelEducacional_Missing,NivelEducacionalCompleto_Si,NivelEducacionalCompleto_No,NivelEducacionalCompleto_Noaplica,NivelEducacionalCompleto_Missing,PertenenciaComunidadIndigena_Si,PertenenciaComunidadIndigena_No,PertenenciaComunidadIndigena_Missing,ComunidadIndigena_Mapuche,ComunidadIndigena_Aymara,ComunidadIndigena_RapaNui,ComunidadIndigena_LicanAntai,ComunidadIndigena_Quechua,ComunidadIndigena_Colla,ComunidadIndigena_Diaguita,ComunidadIndigena_Kawesqar,ComunidadIndigena_YaganoYamana,ComunidadIndigena_OtroPueblo,ComunidadIndigena_Noaplica,ComunidadIndigena_Missing,TrabajoSemanaAnterior_PorPago,TrabajoSemanaAnterior_SinPago,TrabajoSemanaAnterior_Empleado_VacacionesLicenciaDescanso,TrabajoSemanaAnterior_BuscandoEmpleo,TrabajoSemanaAnterior_Estudiando,TrabajoSemanaAnterior_QuehaceresHogar,TrabajoSemanaAnterior_Jubilado_Pensionado_Rentista,TrabajoSemanaAnterior_OtraSituacion,TrabajoSemanaAnterior_NoAplica,TrabajoSemanaAnterior_Missing,ActividadEconomica_Agricultura_Ganaderia_Silvicultura_Pesca,ActividadEconomica_ExplotacionMinas_Canteras,ActividadEconomica_Industrias_Manufactureras,ActividadEconomica_SuministroElectricidad_Gas_Vapor_AireAcondicionado,ActividadEconomica_SuministroAgua_EvacuacionAguasResiduales_GestionDesechosDescontaminacion,ActividadEconomica_Construccion,ActividadEconomica_Comercio_ReparacionVehiculosAutomotoresMotocicletas,ActividadEconomica_Transporte_Almacenamiento,ActividadEconomica_ActividadesAlojamiento_ServiciosComidas,ActividadEconomica_Informacion_Comunicaciones,ActividadEconomica_ActividadesFinancieras_Seguros,ActividadEconomica_ActividadesInmobiliarias,ActividadEconomica_ActividadesProfesionales_Cientificas_Tecnicas,ActividadEconomica_ActividadesServiciosAdministrativos_Apoyo,ActividadEconomica_AdministracionPublica_Defensa_PlanesSeguirdadSocialAfiliacionObligatoria,ActividadEconomica_Ensenanza,ActividadEconomica_ActividadesAtencionSaludHumana_AsistenciaSocial,ActividadEconomica_ActividadesArtisticas_Entretenimiento_Recreativas,ActividadEconomica_OtrasActividadesServicios,ActividadEconomica_ActividadesHogaresComoEmpleadores_ActividadesNoDiferenciadasHogaresComoProductoresBienesyServiciosUsoPropio,ActividadEconomica_ActividadesOrganizaciones_OrganosExtraterritoriales,ActividadEconomica_RamaNoDeclarada,ActividadEconomica_NoAplica,ActividadEconomica_Missing
0,1,11,1101,191468,94674,96474,15490,22691,132629,16895,26777,88151,71473,8856.0,784.0,11256.0,933.0,2606.0,4386.0,3023.0,58282,122415,7007,3764.0,13335,13771,23400,21205,60285,21578,10804,4330,9910,7007,5843.0,5890,2977,4311,629,35364,3734,42856,26764,3945,2260,14681.0,35222.0,2288.0,281.0,7007.0,3259.0,106395,72933,7007,5133,33021,154264,4183.0,5695,18529,49,407.0,3706.0,391.0,2455.0,16.0,20.0,1753.0,154264.0,4183.0,85594,1241,4450,6904.0,15250.0,14936.0,12854.0,6888.0,40588.0,2763.0,97420,2763,966,3178,3555.0,240.0,380.0,6281.0,17671.0,7322.0,5440.0,1057.0,1239.0,1053.0,2878.0,4207.0,7692.0,6951.0,4437.0,794.0,1891.0,2184.0,9.0,11860.0
1,1,11,1107,108375,54169,54145,10105,17365,72866,3908,12129,27346,65333,4265.0,284.0,6541.0,419.0,1038.0,580.0,2569.0,39723,60785,4752,3115.0,10191,8974,12045,10113,34094,6237,4776,3120,9037,4752,5036.0,4592,2302,3166,482,31291,1257,25030,19924,969,406,4220.0,6395.0,178.0,12.0,4752.0,3399.0,51031,47795,4752,4797,32079,72775,3521.0,5397,20034,29,314.0,2412.0,285.0,2608.0,7.0,7.0,986.0,72775.0,3521.0,41022,922,2161,4104.0,8430.0,9101.0,3325.0,6056.0,30685.0,2569.0,61701,2569,364,1439,2287.0,89.0,236.0,4588.0,9826.0,4470.0,2052.0,360.0,206.0,268.0,651.0,2751.0,1827.0,2634.0,1190.0,201.0,776.0,808.0,3.0,7079.0
2,1,14,1401,15711,8889,6698,899,1786,9446,864,1680,4754,8814,342.0,24.0,1206.0,23.0,227.0,96.0,225.0,4509,10106,713,383.0,1186,1095,1999,1404,5286,966,859,386,1286,713,531.0,532,273,380,19,4181,302,3790,2748,159,69,979.0,1136.0,68.0,4.0,713.0,358.0,8175,6230,713,593,6616,8757,338.0,791,4008,2,50.0,543.0,76.0,975.0,1.0,2.0,168.0,8757.0,338.0,6699,177,917,643.0,773.0,1212.0,771.0,602.0,3619.0,298.0,7620,298,302,1574,234.0,65.0,54.0,644.0,733.0,418.0,364.0,22.0,15.0,7.0,92.0,305.0,1424.0,273.0,83.0,31.0,83.0,64.0,1006.0,
3,1,14,1402,1250,657,593,73,134,772,136,113,633,379,22.0,1.0,156.0,4.0,4.0,51.0,,349,729,122,50.0,75,58,110,110,279,75,95,31,185,122,110.0,42,5,28,518,35,181,145,1,1,22,62.0,12.0,1.0,122.0,75.0,,527,500,122,101,1071,149,30.0,15,957,67,1.0,2.0,29.0,149.0,30.0,,,,,447,148,13,24.0,61.0,105.0,104.0,49.0,275.0,24.0,618,24,283,1,9.0,2.0,33.0,44.0,13.0,24.0,1.0,7.0,17.0,53.0,41.0,12.0,3.0,65.0,,,,,,
4,1,14,1403,1728,983,725,75,111,1246,148,207,855,321,9.0,2.0,458.0,6.0,7.0,70.0,,437,1013,160,118.0,68,100,200,159,410,137,102,38,199,160,155.0,29,12,27,7,661,18,213,213,6,1,110.0,149.0,9.0,3.0,160.0,110.0,729,705,160,134,1403,253,72.0,12,1230,1,119.0,11.0,4.0,26.0,253.0,72.0,,,,723,181,58,50.0,83.0,134.0,85.0,84.0,252.0,78.0,688,78,234,8,25.0,2.0,1.0,77.0,157.0,76.0,18.0,1.0,6.0,13.0,148.0,29.0,12.0,1.0,8.0,13.0,133.0,,,
5,1,14,1404,2730,1462,1194,133,249,1684,266,356,1054,1163,86.0,8.0,326.0,4.0,13.0,16.0,60.0,727,1709,192,102.0,173,187,278,280,708,170,221,86,267,192,168.0,74,36,63,3,1024,98,510,343,19,20,95.0,135.0,11.0,1.0,192.0,106.0,1142,1263,192,133,1649,965,116.0,52,1369,1,3.0,142.0,2.0,35.0,45.0,965.0,116.0,,,1130,218,48,78.0,96.0,172.0,221.0,76.0,621.0,70.0,1264,70,448,42,25.0,11.0,5.0,149.0,138.0,55.0,93.0,4.0,2.0,21.0,40.0,79.0,61.0,26.0,5.0,6.0,10.0,176.0,,
6,1,14,1405,9296,6488,2699,314,524,7348,567,979,1876,6168,144.0,20.0,837.0,10.0,17.0,46.0,178.0,1788,7056,188,264.0,409,473,1100,854,3794,874,575,158,497,188,374.0,200,75,132,19,1475,137,2056,2010,78,63,995.0,1499.0,153.0,5.0,188.0,211.0,6099,2621,188,388,4226,4868,202.0,405,2837,3,41.0,591.0,28.0,234.0,2.0,85.0,4868.0,202.0,,3825,136,2584,191.0,239.0,349.0,484.0,180.0,1163.0,145.0,2606,145,324,1970,424.0,15.0,42.0,911.0,503.0,270.0,513.0,34.0,3.0,6.0,151.0,262.0,287.0,171.0,95.0,23.0,28.0,47.0,466.0,
7,2,21,2101,361873,181523,179907,25010,42376,255964,26035,36000,189673,126765,7886.0,1275.0,8716.0,1238.0,15752.0,3391.0,7177.0,116181,221590,14465,9637.0,22875,26938,47483,35812,115061,33664,20325,8217,22620,14465,14413.0,9518,5095,8011,1296,71800,6068,81128,53259,5956,2993,27914.0,60800.0,3799.0,738.0,14465.0,9033.0,197951,136236,14465,13221,28174,321295,12404.0,10179,6195,67,2789.0,2098.0,470.0,4025.0,43.0,26.0,2282.0,321295.0,12404.0,153397,2003,9384,14496.0,32766.0,32902.0,19270.0,13556.0,76260.0,7839.0,189250,7839,912,15098,9229.0,854.0,892.0,12628.0,23896.0,12690.0,6872.0,1998.0,1804.0,737.0,6040.0,9208.0,7954.0,10314.0,7467.0,1443.0,3294.0,3542.0,10.0,27902.0
8,2,21,2102,13467,8014,5419,830,1378,10002,597,1824,4137,7107,119.0,36.0,1339.0,23.0,307.0,140.0,259.0,3395,9210,498,364.0,795,929,1581,1144,5117,756,589,303,1122,498,633.0,335,175,277,41,3063,222,4078,2325,103,61,854.0,1003.0,25.0,5.0,498.0,402.0,7470,4880,498,619,1245,11578,644.0,612,208,9,33.0,128.0,25.0,97.0,133.0,11578.0,644.0,,,6976,75,371,470.0,700.0,1165.0,455.0,375.0,2638.0,242.0,5803,242,218,178,532.0,118.0,38.0,1872.0,507.0,780.0,420.0,22.0,23.0,10.0,128.0,554.0,217.0,206.0,94.0,35.0,52.0,60.0,1.0,1357.0
9,2,21,2103,10186,8039,1132,84,188,7898,46,575,607,8960,121.0,32.0,303.0,14.0,57.0,62.0,30.0,1020,9002,53,111.0,102,457,1469,980,5090,902,571,103,329,53,130.0,46,25,31,602,26,2757,2434,38,40,1510,2306.0,262.0,3.0,53.0,53.0,,7954,2047,53,132,1386,8732,68.0,487,355,3,133.0,98.0,42.0,198.0,1.0,69.0,8732.0,68.0,,6449,47,2997,133.0,82.0,83.0,20.0,35.0,320.0,20.0,673,20,6746,261,4.0,112.0,462.0,308.0,289.0,177.0,24.0,3.0,95.0,333.0,67.0,34.0,29.0,9.0,18.0,9.0,1.0,512.0,,
