,Metric,Current_Comuna,Region,Codigo_region,Comuna,Codigo_comuna,Poblacion,Casos_incrementales,Casos_nuevos,Superficie_km2,IM_interno,IM_externo,IM,Fallecidos_totales,Fallecidos_nuevos,Positividad,Dosis_unica,Primera_dosis,Segunda_dosis,Tercera_dosis,Cuarta_dosis
0,n_unique_vals,Arica,1,1,1,1,,,,,,,,,,,,,,,
1,total_samples,Arica,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
2,non-nan_samples,Arica,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
3,missing_samples,Arica,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
4,min_date,Arica,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
5,max_date,Arica,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
6,n_unique_vals,Camarones,1,1,1,1,,,,,,,,,,,,,,,
7,total_samples,Camarones,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
8,non-nan_samples,Camarones,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
9,missing_samples,Camarones,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
10,min_date,Camarones,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
