REGIÓN,BIENESTAR,EDUCACIÓN,ECONOMÍA,IDC
METROPOLITANA,0.897,0.708,0.218,0.500
VALPARAÍSO,0.852,0.670,0.142,0.423
ANTOFAGASTA,0.842,0.609,0.144,0.409
AYSÉN,0.815,0.609,0.138,0.406
BIOBÍO,0.753,0.660,0.131,0.391
ATACAMA,0.808,0.626,0.108,0.374
O’HIGGINS,0.823,0.640,0.092,0.358
LOS RÍOS,0.669,0.658,0.105,0.355
LOS LAGOS,0.628,0.653,0.110,0.349
MAULE,0.757,0.646,0.090,0.346
MAGALLANES,0.762,0.501,0.130,0.340
COQUIMBO,0.759,0.644,0.088,0.338
TARAPACÁ,0.679,0.601,0.104,0.333
ÑUBLE,0.658,0.644,0.068,0.299
LA ARAUCANÍA,0.617,0.631,0.075,0.299
ARICA Y PARINACOTA,0.513,0.560,0.094,0.289
