REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC,RANKING,RANGOS
RM,PROVIDENCIA,0.9847,0.7764,0.8780,0.8756,1,Alto
RM,LAS CONDES,0.9926,0.7800,0.8660,0.8752,2,Alto
RM,SANTIAGO,0.8953,0.6350,0.8276,0.7778,3,Alto
RM,VITACURA,0.9946,0.4982,0.9002,0.7641,4,Alto
RM,LO BARNECHEA,0.9450,0.4029,0.8160,0.6773,5,Alto
VALPARAÍSO,VIÑA DEL MAR,0.9160,0.4447,0.7596,0.6764,6,Alto
RM,ÑUÑOA,0.9681,0.3601,0.8254,0.6602,7,Alto
BIOBÍO,CONCEPCIÓN,0.9102,0.3615,0.7967,0.6400,8,Alto
ANTOFAGASTA,ANTOFAGASTA,0.9261,0.3383,0.7536,0.6180,9,Medio alto
RM,SAN MIGUEL,0.9452,0.3060,0.7774,0.6081,10,Medio alto
RM,LA REINA,0.9700,0.2823,0.8186,0.6074,11,Medio alto
TARAPACÁ,IQUIQUE,0.8957,0.3218,0.7469,0.5993,12,Medio alto
RM,MAIPÚ,0.9695,0.2817,0.7793,0.5970,13,Medio alto
ARAUCANÍA,TEMUCO,0.8872,0.2995,0.7939,0.5953,14,Medio alto
BIOBÍO,TALCAHUANO,0.9259,0.2879,0.7690,0.5896,15,Medio alto
RM,LA FLORIDA,0.9535,0.2838,0.7545,0.5888,16,Medio alto
VALPARAÍSO,CONCÓN,0.9381,0.2755,0.7843,0.5874,17,Medio alto
MAGALLANES,PUNTA ARENAS,0.9538,0.2726,0.7581,0.5819,18,Medio alto
COQUIMBO,LA SERENA,0.8909,0.2785,0.7814,0.5788,19,Medio alto
RM,QUILICURA,0.9486,0.2669,0.7574,0.5767,20,Medio alto
MAULE,TALCA,0.9243,0.2605,0.7915,0.5755,21,Medio alto
RM,HUECHURABA,0.9287,0.2670,0.7195,0.5630,22,Medio alto
LOS LAGOS,OSORNO,0.8940,0.2485,0.7974,0.5617,23,Medio alto
VALPARAÍSO,VALPARAÍSO,0.9030,0.2627,0.7397,0.5598,24,Medio alto
LOS RÍOS,VALDIVIA,0.8865,0.2524,0.7826,0.5594,25,Medio alto
O'HIGGINS,RANCAGUA,0.9151,0.2411,0.7823,0.5568,26,Medio alto
ANTOFAGASTA,CALAMA,0.8869,0.2503,0.7598,0.5525,27,Medio alto
VALPARAÍSO,QUILPUÉ,0.9281,0.2396,0.7580,0.5524,28,Medio alto
RM,PUDAHUEL,0.9094,0.2498,0.7401,0.5519,29,Medio alto
RM,LA CISTERNA,0.8781,0.2436,0.7798,0.5505,30,Medio alto
BIOBÍO,SAN PEDRO DE LA PAZ,0.9052,0.2358,0.7766,0.5493,31,Medio alto
ATACAMA,COPIAPÓ,0.9095,0.2363,0.7537,0.5451,32,Medio alto
RM,MACUL,0.9245,0.2374,0.7365,0.5448,33,Medio alto
VALPARAÍSO,LOS ANDES,0.9298,0.2241,0.7685,0.5430,34,Medio alto
LOS LAGOS,PUERTO MONTT,0.8594,0.2419,0.7703,0.5430,35,Medio alto
RM,INDEPENDENCIA,0.9146,0.2308,0.7471,0.5403,36,Medio alto
ARICA Y PARINACOTA,ARICA,0.8896,0.2322,0.7630,0.5401,37,Medio alto
RM,PUENTE ALTO,0.9457,0.2179,0.7589,0.5388,38,Medio alto
RM,RECOLETA,0.9023,0.2311,0.7463,0.5379,39,Medio alto
MAULE,CURICÓ,0.8904,0.2179,0.8011,0.5376,40,Medio alto
RM,QUINTA NORMAL,0.9380,0.2460,0.6731,0.5375,41,Medio alto
