,REGION,PROVINCIA,COMUNA,HOMBRES,MUJERES,EDAD_0A5,EDAD_6A14,EDAD_15A64,EDAD_65YMAS,INMIGRANTES,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P12_8,P12_99,P13_1,P13_2,P13_3,P13_99,P14_0,P14_1,P14_2,P14_3,P14_4,P14_5,P14_6,P14_7,P14_8,P14_98,P14_99,P15_1,P15_2,P15_3,P15_4,P15_5,P15_6,P15_7,P15_8,P15_9,P15_10,P15_11,P15_12,P15_13,P15_14,P15_98,P15_99,P15A_1,P15A_2,P15A_98,P15A_99,P16_1,P16_2,P16_99,P16A_1,P16A_2,P16A_3,P16A_4,P16A_5,P16A_6,P16A_7,P16A_8,P16A_9,P16A_10,P16A_98,P16A_99,P17_1,P17_2,P17_3,P17_4,P17_5,P17_6,P17_7,P17_8,P17_98,P17_99,P18_A,P18_B,P18_C,P18_D,P18_E,P18_F,P18_G,P18_H,P18_I,P18_J,P18_K,P18_L,P18_M,P18_N,P18_O,P18_P,P18_Q,P18_R,P18_S,P18_T,P18_U,P18_Z,P18_98,P18_99
0,1,11,1101,694899,723981,117730,178657,986054,112865,166854,88151.0,71473.0,8856.0,784.0,11256.0,933.0,2606.0,4386.0,3023.0,58282.0,122415.0,7007.0,3764.0,13335.0,13771.0,23400.0,21205.0,60285.0,21578.0,10804.0,4330.0,9910.0,7007.0,5843.0,5890.0,2977.0,4311.0,629.0,35364.0,3734.0,42856.0,26764.0,3945.0,2260.0,14681.0,35222.0,2288.0,281.0,7007.0,3259.0,106395.0,72933.0,7007.0,5133.0,33021.0,154264.0,4183.0,5695.0,18529.0,49.0,407.0,3706.0,391.0,2455.0,16.0,20.0,1753.0,154264.0,4183.0,85594.0,1241.0,4450.0,6904.0,15250.0,14936.0,12854.0,6888.0,40588.0,2763.0,97420.0,2763.0,966.0,3178.0,3555.0,240.0,380.0,6281.0,17671.0,7322.0,5440.0,1057.0,1239.0,1053.0,2878.0,4207.0,7692.0,6951.0,4437.0,794.0,1891.0,2184.0,9.0,11860.0
1,1,11,1107,315323,328202,60932,102818,431647,24884,68904,27346.0,65333.0,4265.0,284.0,6541.0,419.0,1038.0,580.0,2569.0,39723.0,60785.0,4752.0,3115.0,10191.0,8974.0,12045.0,10113.0,34094.0,6237.0,4776.0,3120.0,9037.0,4752.0,5036.0,4592.0,2302.0,3166.0,482.0,31291.0,1257.0,25030.0,19924.0,969.0,406.0,4220.0,6395.0,178.0,12.0,4752.0,3399.0,51031.0,47795.0,4752.0,4797.0,32079.0,72775.0,3521.0,5397.0,20034.0,29.0,314.0,2412.0,285.0,2608.0,7.0,7.0,986.0,72775.0,3521.0,41022.0,922.0,2161.0,4104.0,8430.0,9101.0,3325.0,6056.0,30685.0,2569.0,61701.0,2569.0,364.0,1439.0,2287.0,89.0,236.0,4588.0,9826.0,4470.0,2052.0,360.0,206.0,268.0,651.0,2751.0,1827.0,2634.0,1190.0,201.0,776.0,808.0,3.0,7079.0
2,2,21,2101,1586811,1635085,240161,420062,2258731,191245,259885,189673.0,126765.0,7886.0,1275.0,8716.0,1238.0,15752.0,3391.0,7177.0,116181.0,221590.0,14465.0,9637.0,22875.0,26938.0,47483.0,35812.0,115061.0,33664.0,20325.0,8217.0,22620.0,14465.0,14413.0,9518.0,5095.0,8011.0,1296.0,71800.0,6068.0,81128.0,53259.0,5956.0,2993.0,27914.0,60800.0,3799.0,738.0,14465.0,9033.0,197951.0,136236.0,14465.0,13221.0,28174.0,321295.0,12404.0,10179.0,6195.0,67.0,2789.0,2098.0,470.0,4025.0,43.0,26.0,2282.0,321295.0,12404.0,153397.0,2003.0,9384.0,14496.0,32766.0,32902.0,19270.0,13556.0,76260.0,7839.0,189250.0,7839.0,912.0,15098.0,9229.0,854.0,892.0,12628.0,23896.0,12690.0,6872.0,1998.0,1804.0,737.0,6040.0,9208.0,7954.0,10314.0,7467.0,1443.0,3294.0,3542.0,10.0,27902.0
3,2,22,2203,2566,2744,222,477,3873,179,1063,3550.0,4937.0,218.0,178.0,1083.0,10.0,54.0,647.0,319.0,2300.0,7864.0,501.0,331.0,573.0,551.0,1304.0,1010.0,3973.0,1071.0,548.0,203.0,727.0,501.0,535.0,260.0,115.0,194.0,13.0,2212.0,131.0,2410.0,1757.0,50.0,50.0,906.0,1846.0,203.0,52.0,501.0,296.0,6586.0,3434.0,501.0,475.0,5523.0,5196.0,277.0,332.0,335.0,4.0,4068.0,531.0,25.0,80.0,5.0,2.0,141.0,5196.0,277.0,6153.0,210.0,645.0,246.0,347.0,579.0,406.0,353.0,1799.0,258.0,3730.0,258.0,180.0,755.0,245.0,15.0,53.0,810.0,462.0,344.0,1215.0,45.0,30.0,11.0,226.0,750.0,194.0,260.0,167.0,81.0,57.0,46.0,1.0,1061.0
4,3,31,3101,409860,418673,62993,106821,561050,56324,30282,88004.0,58379.0,1118.0,324.0,2010.0,370.0,1454.0,778.0,1500.0,48866.0,95845.0,6985.0,2241.0,11440.0,12328.0,19157.0,16714.0,47143.0,13716.0,8662.0,3830.0,11287.0,6985.0,2675.0,4781.0,2719.0,3740.0,630.0,35106.0,3540.0,36296.0,18400.0,2868.0,1070.0,11684.0,22917.0,900.0,177.0,6985.0,2124.0,81132.0,63249.0,6985.0,2571.0,27078.0,125052.0,1807.0,5133.0,1699.0,43.0,206.0,624.0,9564.0,9023.0,12.0,8.0,766.0,125052.0,1807.0,60912.0,354.0,2280.0,6416.0,14426.0,17987.0,10275.0,4380.0,35492.0,1415.0,88976.0,1415.0,1648.0,10123.0,2382.0,398.0,499.0,5160.0,11297.0,4457.0,2500.0,739.0,759.0,207.0,1410.0,2962.0,5550.0,4682.0,2414.0,478.0,800.0,1181.0,2.0,3898.0
5,4,41,4101,684789,776343,99319,176913,977096,141615,26166,107225.0,103943.0,753.0,738.0,305.0,219.0,1428.0,2360.0,4083.0,73183.0,134691.0,8232.0,4948.0,15463.0,16171.0,27558.0,22825.0,67791.0,22750.0,13784.0,5484.0,13622.0,8232.0,7374.0,6654.0,3535.0,5047.0,956.0,45201.0,5006.0,47501.0,28690.0,4752.0,1872.0,16345.0,39812.0,2529.0,507.0,8232.0,4415.0,119169.0,86697.0,8232.0,6956.0,18994.0,195498.0,6562.0,6775.0,1996.0,54.0,412.0,270.0,758.0,7470.0,42.0,19.0,1198.0,195498.0,6562.0,82376.0,1580.0,4228.0,8793.0,23774.0,22674.0,17908.0,8489.0,46938.0,4294.0,128576.0,4294.0,2796.0,4291.0,3726.0,290.0,358.0,8082.0,14839.0,4862.0,4092.0,1053.0,1143.0,742.0,3151.0,4233.0,4227.0,8144.0,4470.0,828.0,1753.0,2388.0,4.0,12712.0
6,4,41,4102,678679,741016,99348,164693,951709,127266,23208,115565.0,101674.0,712.0,715.0,402.0,365.0,1365.0,2105.0,4827.0,72338.0,140127.0,9628.0,5637.0,16572.0,17246.0,27517.0,22577.0,71881.0,20007.0,12702.0,5890.0,15223.0,9628.0,8487.0,7007.0,3890.0,5454.0,1101.0,50785.0,5527.0,52386.0,33468.0,4710.0,2369.0,15424.0,29419.0,1331.0,232.0,9628.0,4999.0,119026.0,91238.0,9628.0,7838.0,18274.0,201006.0,8450.0,7752.0,1649.0,47.0,307.0,302.0,647.0,6185.0,28.0,34.0,1323.0,201006.0,8450.0,87298.0,1566.0,4552.0,8878.0,20685.0,24411.0,17823.0,6804.0,51008.0,4705.0,129609.0,4705.0,4711.0,3373.0,4542.0,361.0,373.0,9705.0,16703.0,6659.0,4192.0,876.0,865.0,614.0,2454.0,4279.0,3836.0,7028.0,3955.0,878.0,1682.0,2472.0,44.0,13814.0
7,5,51,5101,1195833,1273884,153097,229749,1680202,306926,28471,193276.0,90971.0,623.0,1245.0,130.0,293.0,712.0,3673.0,5732.0,91353.0,188707.0,10262.0,6333.0,16314.0,23624.0,37529.0,34112.0,92921.0,27794.0,20402.0,6584.0,16697.0,10262.0,10416.0,6687.0,3910.0,5405.0,1576.0,53843.0,10426.0,73967.0,33359.0,11211.0,2409.0,24447.0,48746.0,3591.0,834.0,10262.0,5982.0,160932.0,116748.0,10262.0,8713.0,20153.0,268092.0,8410.0,16427.0,923.0,189.0,104.0,164.0,80.0,933.0,51.0,24.0,1258.0,268092.0,8410.0,123292.0,2315.0,5745.0,9676.0,31910.0,23932.0,30071.0,11746.0,52698.0,5270.0,160033.0,5270.0,1008.0,691.0,6834.0,545.0,602.0,10858.0,21788.0,11501.0,7352.0,2354.0,1501.0,732.0,4248.0,7724.0,9718.0,10670.0,7030.0,1498.0,3200.0,4407.0,6.0,17085.0
8,5,51,5102,42516,45614,6412,9949,59684,9095,890,16461.0,9417.0,64.0,80.0,17.0,16.0,31.0,341.0,440.0,7717.0,17555.0,1132.0,463.0,1713.0,1917.0,3017.0,2966.0,8348.0,2003.0,1827.0,760.0,2225.0,1132.0,959.0,733.0,405.0,553.0,136.0,7404.0,941.0,6991.0,2945.0,446.0,79.0,1817.0,2541.0,132.0,38.0,1132.0,574.0,13611.0,11317.0,1132.0,807.0,1674.0,24447.0,746.0,1480.0,58.0,15.0,4.0,4.0,2.0,19.0,1.0,2.0,89.0,24447.0,746.0,11516.0,222.0,533.0,760.0,2189.0,2900.0,2198.0,781.0,5398.0,370.0,14226.0,370.0,1423.0,57.0,1427.0,49.0,44.0,884.0,1425.0,1585.0,635.0,85.0,67.0,42.0,263.0,526.0,454.0,674.0,372.0,87.0,152.0,414.0,1.0,1605.0
9,5,51,5103,241808,265227,32552,53103,344574,54784,17713,13939.0,25788.0,285.0,324.0,34.0,111.0,205.0,933.0,533.0,13266.0,26839.0,1349.0,698.0,2610.0,3390.0,5734.0,4782.0,11387.0,5286.0,3043.0,1158.0,2291.0,1349.0,1122.0,1177.0,623.0,794.0,124.0,7673.0,969.0,9077.0,3345.0,1068.0,226.0,3534.0,9879.0,1419.0,211.0,1349.0,684.0,24000.0,15768.0,1349.0,1035.0,2288.0,38956.0,908.0,1796.0,72.0,22.0,9.0,38.0,11.0,114.0,6.0,2.0,218.0,38956.0,908.0,18334.0,325.0,772.0,1296.0,4497.0,3623.0,3339.0,1268.0,8204.0,494.0,22227.0,494.0,268.0,351.0,1051.0,121.0,87.0,1856.0,2730.0,955.0,1131.0,249.0,345.0,351.0,1048.0,780.0,1135.0,1462.0,1193.0,251.0,565.0,919.0,12.0,2571.0
