C_ANT,C_VIG,C_MAD,C_NMAD,C_REG,NOM_REG,C_DEPEND,DEPEN,PERTEN,TIPO,AMBITO,URGENCIA,CERTIFICA,DEPEN_A,NIVEL,NOMBRE,C_COM,NOM_COM,VIA,NUMERO,DIRECCION,FONO,F_INICIO,F_REAPER,SAPU,F_CAMBIO,TIPO_CAMB,LATITUD,LONGITUD,PRESTADOR,ESTADO,NIVEL_COM,MODALIDAD
01-100,101100,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Regional Dr. Juan Noé Crevanni (Arica),15101,Arica,Calle,1000,18 de Septiembre,582584592,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.482478,-70.312948,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
01-215,101215,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Gendamería,Pendiente,Complejo Penitenciario,15101,Arica,Calle,S/N,Cuesta de Acha,582203400,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.544416,-70.250049,Gendarmería,Vigente en operación ,Pendiente,Atención Cerrada-Hospitalaria
02-100,102100,No Aplica,No Aplica,1,Región De Tarapacá,2,Servicio de Salud Iquique,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Dr. Ernesto Torres Galdames (Iquique),1101,Iquique,Calle,502,Héroes de la Concepción,572575861,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-20.214354,-70.138931,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
03-100,103100,No Aplica,No Aplica,2,Región De Antofagasta,3,Servicio de Salud Antofagasta,Perteneciente,Hospital ,Establecimiento de Salud,SI,Autogestionado en Red ( EAR),Servicio de Salud,Terciario,Hospital Dr. Leonardo Guzmán (Antofagasta),2101,Antofagasta,Avenida,5935,Azapa,552204648,39814,No Aplica,No Aplica,No Aplica,Cambio de dirección,-23.616852,-70.385924,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
03-101,103101,No Aplica,No Aplica,2,Región De Antofagasta,3,Servicio de Salud Antofagasta,Perteneciente,Hospital ,Establecimiento de Salud,SI,Invitados a ser EAR,Servicio de Salud,Terciario,Hospital Dr. Carlos Cisternas (Calama),2201,Calama,Avenida,1490,Almirante Grau,552655700,39814,No Aplica,No Aplica,No Aplica,Cambio dirección,-22.445201,-68.918257,Público ,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
03-102,103102,No Aplica,No Aplica,2,Región De Antofagasta,3,Servicio de Salud Antofagasta,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital Dr. Marcos Macuada (Tocopilla),2301,Tocopilla,Calle,S/N,Santa Rosa,552654560,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-22.088382,-70.193236,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
03-103,103103,No Aplica,No Aplica,2,Región De Antofagasta,3,Servicio de Salud Antofagasta,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital 21 de Mayo (Taltal),2104,Taltal,Calle,450,O'Higgins,552656300,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-25.408169,-70.481211,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
03-104,103104,No Aplica,No Aplica,2,Región De Antofagasta,3,Servicio de Salud Antofagasta,Perteneciente,Hospital ,Establecimiento de Salud,SI,NO,Servicio de Salud,Primario-Secundario ( Por confirmar),Hospital de Mejillones,2102,Mejillones,Avenida,451,Bernardo O'Higgins,552655250,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-23.102666,-70.446328,Público ,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
03-201,103201,No Aplica,No Aplica,2,Región De Antofagasta,2,SEREMI De Antofagasta,No Perteneciente,Hospital,Establecimiento de Salud,NO,NO,Privado,Pendiente,Hospital Cruz del Norte,2302,Maria Elena,Calle,S/N,Osorno ,552413700,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-22.341778,-69.665033,Privado,Vigente en operación ,Baja Complejidad,Atención Cerrada-Hospitalaria
03-210,103210,No Aplica,No Aplica,2,Región De Antofagasta,2,SEREMI De Antofagasta,No Perteneciente,Hospital,Establecimiento de Salud,SI,NO,Fuerzas Armadas y de Orden (FFAA),Terciario,Hospital Militar del Norte,2101,Antofagasta,Avenida,957,Borgoño,552353000,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-23.666927,-70.401556,Fuerzas Armadas y de Orden,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
