C_ANT,C_VIG,C_MAD,C_NMAD,C_REG,NOM_REG,C_DEPEND,DEPEN,PERTEN,TIPO,AMBITO,URGENCIA,CERTIFICA,DEPEN_A,NIVEL,NOMBRE,C_COM,NOM_COM,VIA,NUMERO,DIRECCION,FONO,F_INICIO,F_REAPER,SAPU,F_CAMBIO,TIPO_CAMB,LATITUD,LONGITUD,PRESTADOR,ESTADO,NIVEL_COM,MODALIDAD
01-010,101010,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Dirección Servicio de Salud,Unidad de Atención,NO,NO,Servicio de Salud,No Aplica,Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Arica),15101,Arica,Calle,305,Arturo Prat,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.477644,-70.320689,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-011,101011,01-010,101010,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Programa de Reparación y Atención Integral de Salud,Programa de Atención ,NO,NO,Servicio de Salud,No Aplica,PRAIS (S.S Arica),15101,Arica,Calle,305,Arturo Prat,Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.484664,-70.303464,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-030,101030,No Aplica,No Aplica,15,Región De Arica Parinacota,1,Servicio de Salud Arica,Perteneciente,Unidad de Salud Funcionarios ,Unidad de Atención,NO,NO,Servicio de Salud,Secundario,Unidad de Salud Funcionario S.S Arica,15101,Arica,Calle,305,Arturo Prat,Pendiente ,44225,No Aplica,No Aplica,No Aplica,Sin cambio,-18.484664,-70.303464,Público ,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-090,101090,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Oficina Sanitaria,Unidad de Atención,NO,NO,SEREMI de Salud,No Aplica,Oficina Sanitaria Chacalluta,15101,Arica,Calle,S/N,"Puesto Fronterizo, Chacalluta ",Pendiente ,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.315163,-70.312928,Público ,Vigente en operación ,Baja Complejidad,No Aplica
01-203,101203,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Clínica,Establecimiento de Salud,NO,NO,Privado,No Aplica,Clínica Hebe,15101,Arica,Calle,431,San Marcos,582251921,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.48057,-70.31925,Privado,Vigente en operación ,Mediana Complejidad,Atención Cerrada-Hospitalaria
01-212,101212,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Clínica,Establecimiento de Salud,NO,NO,Privado,No Aplica,Clínica San Agustín,15101,Arica,Calle,720,21 de Mayo,582231223,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.481642,-70.315702,Privado,Vigente en operación ,Pendiente,Atención Cerrada-Hospitalaria
01-213,101213,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Clínica,Establecimiento de Salud,SI,NO,Privado,Terciario,Clínica San José,15101,Arica,Calle,1370,Juan Noé,582533496,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.483417,-70.306769,Privado,Vigente en operación ,Alta Complejidad,Atención Cerrada-Hospitalaria
01-216,101216,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Servicio Médico Estudiantil U. de Tarapacá,15101,Arica,Calle,2222,18 de Septiembre,582205131,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.488017,-70.29478,Privado,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-217,101217,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Fuerzas Armadas y de Orden (FFAA),No Aplica,Centro Clínico Militar Arica,15101,Arica,Avenida,1700,Gral. Velásquez,582232478,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.472919,-70.312264,Fuerzas Armadas y de Orden,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
01-219,101219,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Policlínico del Trabajador AChS Arica,15101,Arica,Calle,1367,Juan Noé,582231239,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.483258,-70.306468,Privado,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-222,101222,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Instituto Teletón Arica,15101,Arica,Avenida,2471,Diego Portales,582224703,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.485004,-70.290756,Privado,Vigente en operación ,Mediana Complejidad,Atención Abierta-Ambulatoria
01-223,101223,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro Médico Monte Sinaí,15101,Arica,Calle,1319,Esmeralda,582250911,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.482083,-70.306514,Privado,Vigente en operación ,Pendiente,Atención Abierta-Ambulatoria
01-225,101225,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro Integral de Salud,15101,Arica,Calle,644,Vicuña Mackenna,582231617,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.481517,-70.311834,Privado,Vigente en operación ,Pendiente,Atención Abierta-Ambulatoria
01-227,101227,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Gendamería,No Aplica,Policlínico Institucional de Gendarmería de Chile,15101,Arica,Calle,30,Colón,582255825,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.480378,-70.321294,Gendarmería,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-228,101228,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Policlínico del Agricultor,15101,Arica,Avenida,3431,Manuel Castillo Ibaceta,582229313,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.497483,-70.285827,Privado,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
01-234,101234,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Privado,No Aplica,Centro de Salud Mutual CChC Arica,15101,Arica,Avenida,2247,Argentina,582241237,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.469364,-70.300944,Privado,Vigente en operación ,Pendiente,Atención Abierta-Ambulatoria
01-239,101239,No Aplica,No Aplica,15,Región De Arica Parinacota,15,SEREMI De Arica y Parinacota,No Perteneciente,Centro de Salud,Establecimiento de Salud,NO,NO,Fuerzas Armadas y de Orden (FFAA),No Aplica,Policlínico Médico Dental de Carabineros,15101,Arica,Calle,1672,18 de Septiembre,582244503,39814,No Aplica,No Aplica,No Aplica,Sin cambio,-18.484918,-70.303977,Fuerzas Armadas y de Orden,Vigente en operación ,Baja Complejidad,Atención Abierta-Ambulatoria
