,Codigo_comuna,Latitud,Longitud
0,15101,-18.475,-70.3144444
1,15102,-19.0166667,-69.8666667
2,15201,-18.1916667,-69.5977778
3,15202,-17.5666667,-69.5
4,1101,-20.2166667,-70.1666667
5,1107,-20.25,-70.1166667
6,1401,-20.2666667,-69.7833333
7,1402,-19.3,-69.4166667
8,1403,-19.2666667,-68.6166667
9,1404,-19.9666667,-69.7666667
10,1405,-20.5,-69.3333333
11,2101,-23.6333333,-70.4
12,2102,-23.1,-70.45
13,2103,-22.8833333,-69.3166667
14,2104,-25.2833333,-69.7666667
15,2201,-22.4666667,-68.9166667
16,2202,-21.2166667,-68.2666667
17,2203,-22.9166667,-68.2166667
18,2301,-22.0666667,-70.2
19,2302,-22.35,-69.6666667
20,3101,-27.3666667,-70.3166667
21,3102,-27.0666667,-70.8166667
22,3103,-27.4666667,-70.2666667
23,3201,-26.3333333,-70.6
24,3202,-26.3666667,-70.05
25,3301,-28.5666667,-70.75
26,3302,-28.9336111,-70.4622222
27,3303,-28.5,-71.0666667
28,3304,-28.45,-71.2166667
29,4101,-29.9,-71.25
30,4102,-29.95,-71.3333333
31,4103,-30.2166667,-71.0833333
32,4104,-29.5,-71.2666667
33,4105,-30.0166667,-70.5166667
34,4106,-30.0166667,-70.7
35,4201,-31.6166667,-71.15
36,4202,-31.4,-71.45
37,4203,-31.9,-71.5166667
38,4204,-31.7666667,-70.9666667
39,4301,-30.5833333,-71.2
40,4302,-31.1666667,-71.05
41,4303,-30.6833333,-70.9333333
42,4304,-30.9,-71.2666667
43,4305,-30.2666667,-70.7
44,5101,-33.0458333,-71.6163889
45,5102,-33.3166667,-71.4166667
46,5103,-32.9166667,-71.5166667
47,5104,-33.6166667,-78.8666667
48,5105,-32.7333333,-71.4166667
49,5107,-32.7833333,-71.5333333
50,5109,-33.0333333,-71.5333333
51,5201,-27.0833333,-109.375
52,5301,-32.8166667,-70.6166667
53,5302,-32.85,-70.6333333
54,5303,-32.8333333,-70.7
55,5304,-32.8,-70.5833333
56,5401,-32.45,-71.2166667
57,5402,-32.4166667,-71.1333333
58,5403,-32.5166667,-71.45
59,5404,-32.25,-70.9333333
60,5405,-32.5333333,-71.4666667
61,5501,-32.8833333,-71.2666667
62,5502,-32.7833333,-71.2166667
63,5503,-32.8,-71.1666667
64,5504,-32.8166667,-71.2333333
65,5506,-32.7166667,-71.2333333
66,5601,-33.6,-71.6166667
67,5602,-33.3911111,-71.6927778
68,5603,-33.55,-71.6
69,5604,-33.4,-71.7
70,5605,-33.45,-71.6666667
71,5606,-33.6333333,-71.65
72,5701,-32.75,-70.7333333
73,5702,-32.6333333,-71.0333333
74,5703,-32.85,-70.9666667
75,5704,-32.8,-70.8333333
76,5705,-32.6333333,-70.7333333
77,5706,-32.75,-70.6666667
78,5801,-33.05,-71.45
79,5802,-32.9833333,-71.2833333
80,5803,-33.0,-71.2
81,5804,-33.05,-71.3666667
82,6101,-34.1652778,-70.7397222
83,6102,-34.0333333,-70.6666667
84,6103,-34.2666667,-70.9666667
85,6104,34.287229,-71.085723
86,6105,-34.2333333,-70.9666667
87,6106,-34.0647222,-70.7266667
88,6107,-34.3,-71.3166667
89,6108,-34.1825,-70.6511111
90,6109,-34.45,-70.95
91,6110,-33.9833333,-70.7
92,6111,-34.21,-70.8175
93,6112,-34.4,-71.1666667
94,6113,-34.35,-71.3
95,6114,-34.35,-70.9833333
96,6115,-34.4166667,-70.8666667
97,6116,-34.2833333,-70.8333333
98,6117,-34.5,-71.1333333
99,6201,-34.3833333,-72.0
100,6202,-34.2,-71.6666667
101,6203,-34.1166667,-71.7333333
102,6204,-34.4,-71.6333333
103,6205,-33.9333333,-71.8333333
104,6206,-34.7833333,-71.1666667
105,6301,-34.5833333,-70.9666667
106,6302,-34.7333333,-71.2833333
107,6303,-34.7,-71.05
108,6304,-34.7286111,-71.6447222
109,6305,-34.6666667,-71.2166667
110,6306,-34.6,-71.3666667
111,6307,-34.4833333,-71.4833333
112,6308,-34.6333333,-71.1166667
113,6309,-34.6,-71.6666667
114,6310,-34.6333333,-71.3666667
115,7101,-35.4333333,-71.6666667
116,7102,-35.3333333,-72.4166667
117,7103,-35.0833333,-72.0166667
118,7104,-35.6,-72.2833333
119,7105,-35.5333333,-71.7
120,7106,-35.3833333,-71.45
121,7107,-35.4,-71.8166667
