date,count_Argentina,ratio_Argentina,total_count_Argentina,count_Bolivia,ratio_Bolivia,total_count_Bolivia,count_Guatemala,ratio_Guatemala,total_count_Guatemala,count_Dominica,ratio_Dominica,total_count_Dominica,count_Jamaica,ratio_Jamaica,total_count_Jamaica,count_Nicaragua,ratio_Nicaragua,total_count_Nicaragua,count_Uruguay,ratio_Uruguay,total_count_Uruguay,count_Saint Lucia,ratio_Saint Lucia,total_count_Saint Lucia,count_Peru,ratio_Peru,total_count_Peru,count_Saint Vincent and the Grenadines,ratio_Saint Vincent and the Grenadines,total_count_Saint Vincent and the Grenadines,count_Cuba,ratio_Cuba,total_count_Cuba,count_Dominican Republic,ratio_Dominican Republic,total_count_Dominican Republic,count_Brazil,ratio_Brazil,total_count_Brazil,count_Panama,ratio_Panama,total_count_Panama,count_Costa Rica,ratio_Costa Rica,total_count_Costa Rica,count_Bahamas,ratio_Bahamas,total_count_Bahamas,count_Ecuador,ratio_Ecuador,total_count_Ecuador,count_El Salvador,ratio_El Salvador,total_count_El Salvador,count_Chile,ratio_Chile,total_count_Chile,count_Haiti,ratio_Haiti,total_count_Haiti,count_Belize,ratio_Belize,total_count_Belize,count_Grenada,ratio_Grenada,total_count_Grenada,count_Antigua and Barbuda,ratio_Antigua and Barbuda,total_count_Antigua and Barbuda,count_Colombia,ratio_Colombia,total_count_Colombia,count_Barbados,ratio_Barbados,total_count_Barbados,count_Suriname,ratio_Suriname,total_count_Suriname,count_Venezuela,ratio_Venezuela,total_count_Venezuela,count_Trinidad and Tobago,ratio_Trinidad and Tobago,total_count_Trinidad and Tobago,count_Mexico,ratio_Mexico,total_count_Mexico,count_Guyana,ratio_Guyana,total_count_Guyana,count_Honduras,ratio_Honduras,total_count_Honduras,count_Paraguay,ratio_Paraguay,total_count_Paraguay
2020-01-01,7,0.002593553167839941,2699,0,0.0,101,0,0.0,76,0,0,16,0,0,79,0,0.0,46,0,0.0,158,0,0,14,0,0.0,268,0,0,3,0,0.0,251,0,0.0,363,0,0.0,937,0,0.0,191,0,0.0,43,0,0,12,0,0.0,156,0,0.0,130,0,0.0,697,0,0.0,42,0,0,13,0,0,10,0,0,3,1,0.001375515818431912,727,0,0,27,0,0,17,0,0.0,464,0,0.0,25,7,0.0019774011299435027,3540,0,0,54,0,0.0,128,0,0.0,43
2020-01-02,15,0.0023737933217281215,6319,0,0.0,242,0,0.0,171,0,0,14,0,0,116,1,0.012987012987012988,77,0,0.0,314,0,0,33,0,0.0,508,0,0,12,2,0.006779661016949152,295,1,0.0014792899408284023,676,0,0.0,1465,0,0.0,296,0,0.0,114,0,0,51,0,0.0,372,2,0.009569377990430622,209,0,0.0,1288,0,0.0,43,0,0,23,0,0,13,0,0,6,1,0.0007987220447284345,1252,0,0,28,0,0,21,0,0.0,678,0,0.0,28,5,0.0008043758043758043,6216,0,0,36,1,0.005263157894736842,190,0,0.0,67
2020-01-03,120,0.016645859342488557,7209,0,0.0,269,0,0.0,196,0,0,19,0,0,124,0,0.0,66,2,0.005509641873278237,363,0,0,30,0,0.0,603,0,0,22,3,0.008356545961002786,359,0,0.0,610,0,0.0,1490,0,0.0,305,0,0.0,177,0,0,60,0,0.0,418,0,0.0,227,1,0.0007401924500370096,1351,0,0.0,47,0,0,24,0,0,15,0,0,10,1,0.00076103500761035,1314,0,0,34,0,0,25,3,0.0033444816053511705,897,0,0.0,29,15,0.002271006813020439,6605,0,0,78,0,0.0,203,0,0.0,78
2020-01-04,25,0.006570302233902759,3805,0,0.0,228,0,0.0,120,0,0,11,0,0,69,0,0.0,68,0,0.0,192,0,0,28,0,0.0,461,0,0,7,4,0.014760147601476014,271,0,0.0,402,0,0.0,866,0,0.0,204,1,0.008695652173913044,115,0,0,39,1,0.003875968992248062,258,0,0.0,174,12,0.016304347826086956,736,0,0.0,22,0,0,6,0,0,11,0,0,7,0,0.0,873,0,0,27,0,0,21,2,0.0030349013657056147,659,0,0.0,14,1,0.00022301516503122213,4484,0,0,72,1,0.006172839506172839,162,0,0.0,27
2020-01-05,14,0.0037125430920180325,3771,0,0.0,182,0,0.0,99,0,0,13,0,0,92,0,0.0,60,2,0.009852216748768473,203,0,0,21,0,0.0,421,0,0,18,0,0.0,191,0,0.0,446,0,0.0,940,1,0.0048543689320388345,206,0,0.0,80,0,0,34,0,0.0,227,0,0.0,173,0,0.0,710,0,0.0,32,0,0,19,0,0,12,0,0,8,1,0.0009551098376313276,1047,0,0,25,0,0,18,4,0.00517464424320828,773,0,0.0,27,8,0.0017486338797814208,4575,0,0,63,0,0.0,162,0,0.0,44
2020-01-06,46,0.006654129900188052,6913,0,0.0,281,0,0.0,191,0,0,18,0,0,105,1,0.007692307692307693,130,1,0.0033444816053511705,299,0,0,42,2,0.0035842293906810036,558,0,0,24,0,0.0,375,0,0.0,662,0,0.0,1633,1,0.003436426116838488,291,0,0.0,174,0,0,38,1,0.002688172043010753,372,0,0.0,243,1,0.0007627765064836003,1311,0,0.0,46,0,0,22,0,0,13,0,0,12,0,0.0,1109,0,0,33,0,0,29,3,0.0030303030303030303,990,0,0.0,23,9,0.001185926999604691,7589,0,0,75,0,0.0,215,0,0.0,88
2020-01-07,37,0.005603513554444949,6603,1,0.0033003300330033004,303,1,0.0049261083743842365,203,0,0,18,0,0,119,0,0.0,123,0,0.0,343,0,0,50,2,0.002861230329041488,699,0,0,32,1,0.0024691358024691358,405,5,0.006527415143603133,766,0,0.0,1720,2,0.005633802816901409,355,1,0.005235602094240838,191,0,0,74,1,0.0023584905660377358,424,0,0.0,256,1,0.0007874015748031496,1270,0,0.0,46,0,0,24,0,0,25,0,0,12,2,0.0013614703880190605,1469,0,0,30,0,0,17,6,0.005571030640668524,1077,0,0.0,28,12,0.0014007237072487452,8567,0,0,75,2,0.008733624454148471,229,0,0.0,71
2020-01-08,26,0.003317172748150038,7838,0,0.0,333,1,0.0045045045045045045,222,0,0,25,0,0,104,3,0.020833333333333332,144,0,0.0,347,0,0,19,3,0.004316546762589928,695,0,0,20,0,0.0,441,2,0.002457002457002457,814,0,0.0,1856,2,0.006289308176100629,318,0,0.0,193,0,0,65,0,0.0,385,0,0.0,272,1,0.0007220216606498195,1385,0,0.0,45,0,0,30,0,0,19,0,0,9,1,0.0006548788474132286,1527,0,0,22,0,0,31,0,0.0,1144,0,0.0,51,16,0.0019622271277900416,8154,0,0,79,0,0.0,272,0,0.0,85
2020-01-09,25,0.0032756813417190774,7632,0,0.0,304,0,0.0,195,0,0,22,0,0,102,1,0.008695652173913044,115,0,0.0,368,0,0,26,1,0.0015822784810126582,632,0,0,26,0,0.0,426,1,0.0011389521640091116,878,0,0.0,1814,0,0.0,303,0,0.0,160,0,0,66,0,0.0,401,0,0.0,268,2,0.0013745704467353953,1455,0,0.0,53,0,0,26,0,0,25,0,0,8,5,0.0032808398950131233,1524,0,0,42,0,0,29,4,0.003656307129798903,1094,0,0.0,17,20,0.002486634340420241,8043,0,0,89,0,0.0,226,0,0.0,92
2020-01-10,52,0.007909948281107393,6574,0,0.0,295,0,0.0,229,0,0,14,0,0,130,0,0.0,107,3,0.008086253369272238,371,0,0,28,2,0.0031645569620253164,632,0,0,21,1,0.00205761316872428,486,2,0.002677376171352075,747,0,0.0,1719,0,0.0,318,0,0.0,163,0,0,20,1,0.002680965147453083,373,0,0.0,203,2,0.0015515903801396431,1289,0,0.0,35,0,0,25,0,0,18,0,0,8,0,0.0,1347,0,0,29,0,0,31,5,0.0045045045045045045,1110,0,0.0,30,34,0.004956268221574344,6860,0,0,75,0,0.0,244,0,0.0,78
