date,count_Argentina,ratio_Argentina,total_count_Argentina,count_Bolivia,ratio_Bolivia,total_count_Bolivia,count_Guatemala,ratio_Guatemala,total_count_Guatemala,count_Dominica,ratio_Dominica,total_count_Dominica,count_Jamaica,ratio_Jamaica,total_count_Jamaica,count_Nicaragua,ratio_Nicaragua,total_count_Nicaragua,count_Uruguay,ratio_Uruguay,total_count_Uruguay,count_Saint Lucia,ratio_Saint Lucia,total_count_Saint Lucia,count_Peru,ratio_Peru,total_count_Peru,count_Saint Vincent and the Grenadines,ratio_Saint Vincent and the Grenadines,total_count_Saint Vincent and the Grenadines,count_Cuba,ratio_Cuba,total_count_Cuba,count_Dominican Republic,ratio_Dominican Republic,total_count_Dominican Republic,count_Brazil,ratio_Brazil,total_count_Brazil,count_Panama,ratio_Panama,total_count_Panama,count_Costa Rica,ratio_Costa Rica,total_count_Costa Rica,count_Bahamas,ratio_Bahamas,total_count_Bahamas,count_Ecuador,ratio_Ecuador,total_count_Ecuador,count_El Salvador,ratio_El Salvador,total_count_El Salvador,count_Chile,ratio_Chile,total_count_Chile,count_Haiti,ratio_Haiti,total_count_Haiti,count_Belize,ratio_Belize,total_count_Belize,count_Grenada,ratio_Grenada,total_count_Grenada,count_Antigua and Barbuda,ratio_Antigua and Barbuda,total_count_Antigua and Barbuda,count_Colombia,ratio_Colombia,total_count_Colombia,count_Barbados,ratio_Barbados,total_count_Barbados,count_Suriname,ratio_Suriname,total_count_Suriname,count_Venezuela,ratio_Venezuela,total_count_Venezuela,count_Trinidad and Tobago,ratio_Trinidad and Tobago,total_count_Trinidad and Tobago,count_Mexico,ratio_Mexico,total_count_Mexico,count_Guyana,ratio_Guyana,total_count_Guyana,count_Honduras,ratio_Honduras,total_count_Honduras,count_Paraguay,ratio_Paraguay,total_count_Paraguay
2020-01-01,1,0.0003705075954057058,2699,0,0.0,101,0,0.0,76,0,0,16,0,0.0,79,0,0.0,46,0,0.0,158,0,0,14,0,0.0,268,0,0,3,0,0.0,251,0,0.0,363,0,0.0,937,0,0.0,191,0,0.0,43,0,0,12,0,0.0,156,0,0.0,130,0,0.0,697,0,0,42,0,0,13,0,0,10,0,0,3,0,0.0,727,0,0,27,0,0,17,0,0.0,464,0,0,25,1,0.0002824858757062147,3540,0,0,54,0,0.0,128,0,0.0,43
2020-01-02,0,0.0,6319,0,0.0,242,0,0.0,171,0,0,14,0,0.0,116,0,0.0,77,0,0.0,314,0,0,33,0,0.0,508,0,0,12,0,0.0,295,0,0.0,676,0,0.0,1465,0,0.0,296,0,0.0,114,0,0,51,0,0.0,372,0,0.0,209,0,0.0,1288,0,0,43,0,0,23,0,0,13,0,0,6,0,0.0,1252,0,0,28,0,0,21,0,0.0,678,0,0,28,1,0.00016087516087516087,6216,0,0,36,0,0.0,190,0,0.0,67
2020-01-03,0,0.0,7209,0,0.0,269,0,0.0,196,0,0,19,0,0.0,124,0,0.0,66,0,0.0,363,0,0,30,0,0.0,603,0,0,22,0,0.0,359,0,0.0,610,0,0.0,1490,0,0.0,305,0,0.0,177,0,0,60,0,0.0,418,0,0.0,227,0,0.0,1351,0,0,47,0,0,24,0,0,15,0,0,10,0,0.0,1314,0,0,34,0,0,25,0,0.0,897,0,0,29,0,0.0,6605,0,0,78,0,0.0,203,0,0.0,78
2020-01-04,0,0.0,3805,0,0.0,228,0,0.0,120,0,0,11,0,0.0,69,0,0.0,68,0,0.0,192,0,0,28,0,0.0,461,0,0,7,0,0.0,271,0,0.0,402,0,0.0,866,0,0.0,204,0,0.0,115,0,0,39,0,0.0,258,0,0.0,174,0,0.0,736,0,0,22,0,0,6,0,0,11,0,0,7,0,0.0,873,0,0,27,0,0,21,0,0.0,659,0,0,14,0,0.0,4484,0,0,72,0,0.0,162,0,0.0,27
2020-01-05,0,0.0,3771,0,0.0,182,0,0.0,99,0,0,13,0,0.0,92,0,0.0,60,0,0.0,203,0,0,21,0,0.0,421,0,0,18,0,0.0,191,0,0.0,446,0,0.0,940,0,0.0,206,0,0.0,80,0,0,34,0,0.0,227,0,0.0,173,0,0.0,710,0,0,32,0,0,19,0,0,12,0,0,8,3,0.0028653295128939827,1047,0,0,25,0,0,18,0,0.0,773,0,0,27,1,0.0002185792349726776,4575,0,0,63,0,0.0,162,0,0.0,44
2020-01-06,0,0.0,6913,0,0.0,281,0,0.0,191,0,0,18,0,0.0,105,0,0.0,130,0,0.0,299,0,0,42,0,0.0,558,0,0,24,0,0.0,375,0,0.0,662,0,0.0,1633,0,0.0,291,0,0.0,174,0,0,38,0,0.0,372,0,0.0,243,0,0.0,1311,0,0,46,0,0,22,0,0,13,0,0,12,0,0.0,1109,0,0,33,0,0,29,0,0.0,990,0,0,23,2,0.0002635393332454869,7589,0,0,75,0,0.0,215,0,0.0,88
2020-01-07,0,0.0,6603,0,0.0,303,0,0.0,203,0,0,18,0,0.0,119,0,0.0,123,0,0.0,343,0,0,50,0,0.0,699,0,0,32,0,0.0,405,0,0.0,766,0,0.0,1720,0,0.0,355,0,0.0,191,0,0,74,0,0.0,424,0,0.0,256,0,0.0,1270,0,0,46,0,0,24,0,0,25,0,0,12,0,0.0,1469,0,0,30,0,0,17,0,0.0,1077,0,0,28,1,0.0001167269756040621,8567,0,0,75,0,0.0,229,0,0.0,71
2020-01-08,0,0.0,7838,0,0.0,333,0,0.0,222,0,0,25,0,0.0,104,0,0.0,144,0,0.0,347,0,0,19,0,0.0,695,0,0,20,0,0.0,441,0,0.0,814,0,0.0,1856,0,0.0,318,0,0.0,193,0,0,65,0,0.0,385,0,0.0,272,0,0.0,1385,0,0,45,0,0,30,0,0,19,0,0,9,1,0.0006548788474132286,1527,0,0,22,0,0,31,0,0.0,1144,0,0,51,0,0.0,8154,0,0,79,0,0.0,272,0,0.0,85
2020-01-09,0,0.0,7632,0,0.0,304,0,0.0,195,0,0,22,0,0.0,102,0,0.0,115,0,0.0,368,0,0,26,0,0.0,632,0,0,26,0,0.0,426,0,0.0,878,0,0.0,1814,0,0.0,303,0,0.0,160,0,0,66,0,0.0,401,0,0.0,268,0,0.0,1455,0,0,53,0,0,26,0,0,25,0,0,8,1,0.0006561679790026247,1524,0,0,42,0,0,29,0,0.0,1094,0,0,17,0,0.0,8043,0,0,89,0,0.0,226,0,0.0,92
2020-01-10,0,0.0,6574,0,0.0,295,0,0.0,229,0,0,14,0,0.0,130,0,0.0,107,0,0.0,371,0,0,28,0,0.0,632,0,0,21,0,0.0,486,0,0.0,747,0,0.0,1719,0,0.0,318,0,0.0,163,0,0,20,0,0.0,373,0,0.0,203,0,0.0,1289,0,0,35,0,0,25,0,0,18,0,0,8,1,0.0007423904974016332,1347,0,0,29,0,0,31,2,0.0018018018018018018,1110,0,0,30,5,0.0007288629737609329,6860,0,0,75,0,0.0,244,0,0.0,78
