date,count_Argentina,ratio_Argentina,total_count_Argentina,count_Bolivia,ratio_Bolivia,total_count_Bolivia,count_Guatemala,ratio_Guatemala,total_count_Guatemala,count_Dominica,ratio_Dominica,total_count_Dominica,count_Jamaica,ratio_Jamaica,total_count_Jamaica,count_Nicaragua,ratio_Nicaragua,total_count_Nicaragua,count_Uruguay,ratio_Uruguay,total_count_Uruguay,count_Saint Lucia,ratio_Saint Lucia,total_count_Saint Lucia,count_Peru,ratio_Peru,total_count_Peru,count_Saint Vincent and the Grenadines,ratio_Saint Vincent and the Grenadines,total_count_Saint Vincent and the Grenadines,count_Cuba,ratio_Cuba,total_count_Cuba,count_Dominican Republic,ratio_Dominican Republic,total_count_Dominican Republic,count_Brazil,ratio_Brazil,total_count_Brazil,count_Panama,ratio_Panama,total_count_Panama,count_Costa Rica,ratio_Costa Rica,total_count_Costa Rica,count_Bahamas,ratio_Bahamas,total_count_Bahamas,count_Ecuador,ratio_Ecuador,total_count_Ecuador,count_El Salvador,ratio_El Salvador,total_count_El Salvador,count_Chile,ratio_Chile,total_count_Chile,count_Haiti,ratio_Haiti,total_count_Haiti,count_Belize,ratio_Belize,total_count_Belize,count_Grenada,ratio_Grenada,total_count_Grenada,count_Antigua and Barbuda,ratio_Antigua and Barbuda,total_count_Antigua and Barbuda,count_Colombia,ratio_Colombia,total_count_Colombia,count_Barbados,ratio_Barbados,total_count_Barbados,count_Suriname,ratio_Suriname,total_count_Suriname,count_Venezuela,ratio_Venezuela,total_count_Venezuela,count_Trinidad and Tobago,ratio_Trinidad and Tobago,total_count_Trinidad and Tobago,count_Mexico,ratio_Mexico,total_count_Mexico,count_Guyana,ratio_Guyana,total_count_Guyana,count_Honduras,ratio_Honduras,total_count_Honduras,count_Paraguay,ratio_Paraguay,total_count_Paraguay
2020-01-01,136,0.05038903297517599,2699,1,0.009900990099009901,101,0,0.0,76,0,0.0,16,2,0.02531645569620253,79,0,0.0,46,3,0.0189873417721519,158,1,0.07142857142857142,14,10,0.03731343283582089,268,0,0.0,3,2,0.00796812749003984,251,1,0.0027548209366391185,363,1,0.0010672358591248667,937,1,0.005235602094240838,191,0,0.0,43,0,0.0,12,2,0.01282051282051282,156,4,0.03076923076923077,130,26,0.03730272596843615,697,2,0.047619047619047616,42,0,0.0,13,1,0.1,10,0,0.0,3,16,0.02200825309491059,727,0,0.0,27,0,0.0,17,7,0.015086206896551725,464,0,0.0,25,165,0.046610169491525424,3540,1,0.018518518518518517,54,0,0.0,128,1,0.023255813953488372,43
2020-01-02,367,0.05807880993828137,6319,0,0.0,242,9,0.05263157894736842,171,0,0.0,14,1,0.008620689655172414,116,0,0.0,77,3,0.009554140127388535,314,0,0.0,33,19,0.03740157480314961,508,1,0.08333333333333333,12,1,0.003389830508474576,295,2,0.0029585798816568047,676,7,0.00477815699658703,1465,2,0.006756756756756757,296,0,0.0,114,1,0.0196078431372549,51,4,0.010752688172043012,372,2,0.009569377990430622,209,50,0.03881987577639751,1288,2,0.046511627906976744,43,0,0.0,23,1,0.07692307692307693,13,0,0.0,6,18,0.01437699680511182,1252,0,0.0,28,0,0.0,21,14,0.02064896755162242,678,0,0.0,28,210,0.033783783783783786,6216,1,0.027777777777777776,36,0,0.0,190,3,0.04477611940298507,67
2020-01-03,416,0.057705645720626995,7209,1,0.0037174721189591076,269,9,0.04591836734693878,196,0,0.0,19,2,0.016129032258064516,124,4,0.06060606060606061,66,3,0.008264462809917356,363,0,0.0,30,24,0.03980099502487562,603,0,0.0,22,0,0.0,359,1,0.001639344262295082,610,6,0.004026845637583893,1490,6,0.019672131147540985,305,0,0.0,177,0,0.0,60,4,0.009569377990430622,418,6,0.02643171806167401,227,43,0.03182827535159141,1351,1,0.02127659574468085,47,0,0.0,24,0,0.0,15,0,0.0,10,18,0.0136986301369863,1314,0,0.0,34,0,0.0,25,14,0.01560758082497213,897,0,0.0,29,265,0.04012112036336109,6605,1,0.01282051282051282,78,0,0.0,203,2,0.02564102564102564,78
2020-01-04,177,0.046517739816031536,3805,0,0.0,228,5,0.041666666666666664,120,0,0.0,11,0,0.0,69,0,0.0,68,2,0.010416666666666666,192,0,0.0,28,21,0.0455531453362256,461,0,0.0,7,4,0.014760147601476014,271,2,0.004975124378109453,402,8,0.009237875288683603,866,0,0.0,204,1,0.008695652173913044,115,1,0.02564102564102564,39,1,0.003875968992248062,258,2,0.011494252873563218,174,25,0.033967391304347824,736,0,0.0,22,0,0.0,6,0,0.0,11,0,0.0,7,8,0.009163802978235968,873,0,0.0,27,0,0.0,21,9,0.013657056145675266,659,1,0.07142857142857142,14,206,0.04594112399643176,4484,0,0.0,72,1,0.006172839506172839,162,0,0.0,27
2020-01-05,142,0.03765579421904004,3771,1,0.005494505494505495,182,5,0.050505050505050504,99,0,0.0,13,5,0.05434782608695652,92,0,0.0,60,8,0.03940886699507389,203,0,0.0,21,27,0.06413301662707839,421,1,0.05555555555555555,18,1,0.005235602094240838,191,1,0.002242152466367713,446,4,0.00425531914893617,940,1,0.0048543689320388345,206,0,0.0,80,0,0.0,34,2,0.00881057268722467,227,3,0.017341040462427744,173,22,0.030985915492957747,710,0,0.0,32,0,0.0,19,1,0.08333333333333333,12,0,0.0,8,13,0.012416427889207259,1047,0,0.0,25,2,0.1111111111111111,18,9,0.01164294954721863,773,0,0.0,27,175,0.03825136612021858,4575,0,0.0,63,0,0.0,162,0,0.0,44
2020-01-06,345,0.049905974251410384,6913,2,0.0071174377224199285,281,6,0.031413612565445025,191,0,0.0,18,2,0.01904761904761905,105,2,0.015384615384615385,130,5,0.016722408026755852,299,0,0.0,42,37,0.06630824372759857,558,0,0.0,24,1,0.0026666666666666666,375,5,0.0075528700906344415,662,11,0.006736068585425597,1633,0,0.0,291,1,0.005747126436781609,174,2,0.05263157894736842,38,0,0.0,372,3,0.012345679012345678,243,49,0.03737604881769641,1311,1,0.021739130434782608,46,0,0.0,22,0,0.0,13,0,0.0,12,7,0.0063119927862939585,1109,0,0.0,33,0,0.0,29,14,0.014141414141414142,990,1,0.043478260869565216,23,291,0.03834497298721834,7589,0,0.0,75,2,0.009302325581395349,215,3,0.03409090909090909,88
2020-01-07,318,0.0481599273057701,6603,7,0.0231023102310231,303,10,0.04926108374384237,203,0,0.0,18,1,0.008403361344537815,119,3,0.024390243902439025,123,6,0.01749271137026239,343,0,0.0,50,38,0.05436337625178827,699,1,0.03125,32,0,0.0,405,6,0.007832898172323759,766,14,0.00813953488372093,1720,2,0.005633802816901409,355,3,0.015706806282722512,191,0,0.0,74,5,0.01179245283018868,424,6,0.0234375,256,45,0.03543307086614173,1270,0,0.0,46,0,0.0,24,0,0.0,25,0,0.0,12,22,0.014976174268209666,1469,2,0.06666666666666667,30,0,0.0,17,9,0.008356545961002786,1077,0,0.0,28,347,0.04050426053460955,8567,1,0.013333333333333334,75,2,0.008733624454148471,229,2,0.028169014084507043,71
2020-01-08,329,0.04197499362082164,7838,2,0.006006006006006006,333,8,0.036036036036036036,222,0,0.0,25,1,0.009615384615384616,104,4,0.027777777777777776,144,4,0.011527377521613832,347,0,0.0,19,53,0.07625899280575539,695,0,0.0,20,3,0.006802721088435374,441,5,0.006142506142506142,814,6,0.003232758620689655,1856,2,0.006289308176100629,318,2,0.010362694300518135,193,1,0.015384615384615385,65,2,0.005194805194805195,385,3,0.011029411764705883,272,64,0.046209386281588445,1385,2,0.044444444444444446,45,0,0.0,30,0,0.0,19,0,0.0,9,23,0.015062213490504257,1527,0,0.0,22,0,0.0,31,11,0.009615384615384616,1144,0,0.0,51,343,0.04206524405199902,8154,0,0.0,79,4,0.014705882352941176,272,3,0.03529411764705882,85
2020-01-09,291,0.03812893081761006,7632,2,0.006578947368421052,304,4,0.020512820512820513,195,0,0.0,22,0,0.0,102,2,0.017391304347826087,115,4,0.010869565217391304,368,0,0.0,26,29,0.04588607594936709,632,0,0.0,26,3,0.007042253521126761,426,6,0.00683371298405467,878,8,0.004410143329658214,1814,3,0.009900990099009901,303,0,0.0,160,0,0.0,66,1,0.0024937655860349127,401,7,0.026119402985074626,268,41,0.028178694158075602,1455,3,0.05660377358490566,53,0,0.0,26,1,0.04,25,0,0.0,8,22,0.014435695538057743,1524,0,0.0,42,0,0.0,29,15,0.013711151736745886,1094,0,0.0,17,360,0.04475941812756434,8043,0,0.0,89,1,0.004424778761061947,226,3,0.03260869565217391,92
2020-01-10,267,0.040614542135686035,6574,1,0.003389830508474576,295,7,0.03056768558951965,229,0,0.0,14,0,0.0,130,1,0.009345794392523364,107,6,0.016172506738544475,371,0,0.0,28,39,0.061708860759493674,632,0,0.0,21,0,0.0,486,2,0.002677376171352075,747,15,0.008726003490401396,1719,10,0.031446540880503145,318,1,0.006134969325153374,163,0,0.0,20,3,0.00804289544235925,373,4,0.019704433497536946,203,67,0.051978277734678044,1289,0,0.0,35,0,0.0,25,0,0.0,18,0,0.0,8,17,0.012620638455827766,1347,0,0.0,29,0,0.0,31,22,0.01981981981981982,1110,1,0.03333333333333333,30,281,0.04096209912536443,6860,0,0.0,75,2,0.00819672131147541,244,4,0.05128205128205128,78
